ID,Model.Question,Correct Answer
1,Thể loại nào dưới đây không phải của văn học dân gian? (a): Thần thoại	(b):Ca dao 	(c):Kịch nói  (d):  Chèo,c
2,Tuyên ngôn độc lập của Hồ Chí Minh được viết theo thể loại nào sau đây: ? (a):Văn chính luận	(b) :Truyện	(c): Kí (d):Ký sự,a
3,Thể loại nào trong các thể loại văn học sau đây ra đời trong giai đoạn kháng chiến chống Pháp (1946 - 1954)? (a):Truyện ngắn	(b):Kí	(c):Thơ    (d):Truyện dài,b
4,Năm sinh-năm mất của nhà thơ Chế Lan Viên là năm nào sau đây:? (a):1920 – 1985	(b) :1920 – 1989	(c):1925 – 1989 (d):1925 – 1985,b
5,Bài thơ Các vị La Hán chùa Tây Phương được Huy Cận sáng tác năm nào? (a):1940	(b) :1941	(c) :1945	(d):1860,d
6,Tập thơ nào sau đây không phải là của Xuân Quỳnh? (a): Hoa dọc chiến hào	(b):Hoa dừa	(c):Gió Lào cát trắng	(d):Tự hát,b
7,Có một tàu điện đi về hướng nam. Gió hướng tây bắc. Vậy khói từ con tàu sẽ theo hướng nào? ? (a):Đông	(b):Tây	(c)Nam	(d):Không hướng nào,d
8,Làm thế nào để không đụng phải ngón tay khi bạn đập búa vào một cái móng tay? (a):Cầm búa bằng cả 2 tay	(b):Cầm búa bằng tay trái	(c):Cầm búa bằng tay phải	(d):Cầm búa bằng chân,a
9,Miệng rộng lớn nhưng không nói một từ là con gì? ? (a):Con cá voi	(b):Con khỉ đột	(c): Con sông	(d):Con voi,c
10,Loại nước giải khát nào chứa Canxi và Sắt? (a):Coca	(b):PepSi	(c):Cafe	(d): Sinh tố,c
11,Cái gì luôn đi đến mà không bao giờ đến nơi? (a):Cơn gió	(b): Tình yêu	(c):Ngày mai	(d) :Không biết là cái gì,c
12,Một anh thanh niên đánh 1 bà già hỏi anh ấy mất gì? (a):Mất tiền.	(b):Mất trí	(c):Mất sức	(d):Mất dạy,d
14,Bố mẹ có 6 người con trai mỗi người con trai có một đứa em gái. Vậy gia đình đó có mấy người?  (a):8	(b) :9	(c):10	(d):11,c
15,Có 1 đàn chuột điếc đi ngang qua hố cống hỏi có mấy con? (a) : 24	(b) :18	(c):15	(d)42,a
